horizon,model,n,mse,rmse
1,benchmark_lag123,5184,0.3045592610529942,0.5518688803085332
1,benchmark_roll3,5184,0.39589370469310897,0.6292008460683353
1,grievance_gbm,5184,0.6688022354116028,0.8178032987287364
1,grievance_rf,5184,0.6831632090940095,0.8265368770321198
2,benchmark_lag123,5184,0.342913947066751,0.5855885475884506
2,benchmark_roll3,5184,0.45601992092114346,0.675292470653378
2,grievance_gbm,5184,0.7868492274932254,0.8870452229132545
2,grievance_rf,5184,0.8072890893717826,0.898492676303921
3,benchmark_lag123,5184,0.36222874832164054,0.6018544245260979
3,benchmark_roll3,5184,0.47031688593221105,0.6857965339167377
3,grievance_gbm,5184,0.9090896078642315,0.9534619068763217
3,grievance_rf,5184,0.938152448216575,0.9685827007626013
4,benchmark_lag123,5184,0.39491831041755227,0.6284252623960563
4,benchmark_roll3,5184,0.5043514147125839,0.7101770305442044
4,grievance_gbm,5184,0.9803125511895108,0.9901073432661283
4,grievance_rf,5184,1.0223920074841792,1.0111340205354478
5,benchmark_lag123,5184,0.40242374803525527,0.634368779209109
5,benchmark_roll3,5184,0.5250817438213875,0.7246252437097314
5,grievance_gbm,5184,1.0309807493362224,1.0153722220625412
5,grievance_rf,5184,1.0850060096833964,1.0416362175363318
6,benchmark_lag123,5184,0.4143920807180286,0.6437329265448744
6,benchmark_roll3,5184,0.5321293417407763,0.729471960901018
6,grievance_gbm,5184,1.0358523442079512,1.0177683155846182
6,grievance_rf,5184,1.1147130325853944,1.055799712343868
7,benchmark_lag123,5184,0.4289832348554322,0.654968117434301
7,benchmark_roll3,5184,0.535695961264248,0.7319125366218617
7,grievance_gbm,5184,1.0483259147447723,1.0238778807771816
7,grievance_rf,5184,1.1415416285200235,1.0684295149985439
